Species;Leaf out;Flowering;Fruiting ;Dispersal;Senescence ;Leaf fall
Stellaria graminea;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Stellaria nemorum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Taraxacum arcticum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Taraxacum croceum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Taraxacum sp.;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Thalictrum alpinum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Tofieldia pusilla;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Trientalis europaea;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Trifolium pratense;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Trifolium repens;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Trisetum spicatum;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Trollius europaeus;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Tussilago farfara;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Vaccinium myrtillus;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf, rd,rf;none;ed, r;L
Vaccinium uliginosum;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf, rd,rf;none;ed, r;L
Vaccinium vitis-idaea;"0,A,B1,B2;C";K,f1,f2,f3,f4;uf, rd,rf;none;none;none
Veronica alpina;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Veronica fruticans;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Vicia cracca;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
Viola biflora;Z;K,f1,f2,f3,f4;uf;V,Vb;vd,vt;none
